circuit,circuit_type,Magnet,R_Warm_1,R_Warm_2,R_Warm_3,L_Ap1Mag1,L_Ap2Mag1,M_Ap12Mag1,L_Ap1Mag2,L_Ap2Mag2,M_Ap12Mag2,Temp[K],C_Ap1Mag1,C_Ap2Mag1,C_Ap1Mag2,C_Ap2Mag2,I_start_PC1,I_end_1_PC1,I_end_2_PC1,dI_dt_PC1,dI_dt2_PC1,t_start_PC1,t_plateau_PC1,t_PC_off_PC1,t_PC_switch_off_PC1,I_start_PC2,I_end_1_PC2,I_end_2_PC2,dI_dt_PC2,dI_dt2_PC2,t_start_PC2,t_plateau_PC2,t_PC_off_PC2,t_PC_switch_off_PC2
RQ4.L1,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000466,0.000435,0.000385,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.L2,IPQ_RQ4_4_2xRPHH_4xMQY,MQY_MQY,0.00041,0.000423,0.000406,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.L5,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000359,0.000454,0.000386,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.L6,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000373,0.000371,0.000355,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.L8,IPQ_RQ4_4_2xRPHH_4xMQY,MQY_MQY,0.000343,0.000339,0.000319,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.R1,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000208,0.000207,0.000206,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.R2,IPQ_RQ4_4_2xRPHH_4xMQY,MQY_MQY,0.0003,0.000288,0.000271,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.R5,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000185,0.000228,0.000198,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.R6,IPQ_RQ4_2_2xRPHH_2xMQY,MQY,0.000362,0.000383,0.00035,0.067419854,0.067419854,0.001799093,0.00E+00,0.00E+00,0.00E+00,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ4.R8,IPQ_RQ4_4_2xRPHH_4xMQY,MQY_MQY,0.000505,0.000496,0.000484,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.L1,IPQ_RQ5_2_2xRPHGB_2xMQML,MQML,0.000333,0.000219,0.000185,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.L2,IPQ_RQ5_4_2xRPHH_4xMQY,MQY_MQY,0.000367,0.000315,0.000294,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.L4,IPQ_RQ5_2_2xRPHH_2xMQY,MQY,0.00034126,0.00033075,0.000326898,0.067419854,0.067419854,0.001799093,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.L5,IPQ_RQ5_2_2xRPHGB_2xMQML,MQML,0.000292,0.00027,0.000303,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.L6,IPQ_RQ5_2_2xRPHH_2xMQY,MQY,0.000395,0.000397,0.000386,0.067419854,0.067419854,0.001799093,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.L8,IPQ_RQ5_4_2xRPHGB_4xMQM,MQM_MQM,0.00037,0.000385,0.000372,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,4.5,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.R1,IPQ_RQ5_2_2xRPHGB_2xMQML,MQML,0.000307,0.000359,0.000284,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.R2,IPQ_RQ5_4_2xRPHGB_4xMQM,MQM_MQM,0.000367,0.000315,0.000294,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,4.5,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.R4,IPQ_RQ5_2_2xRPHH_2xMQY,MQY,0.000322,0.00036,0.000324,0.067419854,0.067419854,0.001799093,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.R5,IPQ_RQ5_2_2xRPHGB_2xMQML,MQML,0.000286,0.000364,0.000295,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ5.R6,IPQ_RQ5_2_2xRPHH_2xMQY,MQY,0.000374,0.00043,0.000431,0.067419854,0.067419854,0.001799093,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ5.R8,IPQ_RQ5_4_2xRPHH_4xMQY,MQY_MQY,0.00037,0.000385,0.000372,0.067419854,0.067419854,0.001799093,0.067419854,0.067419854,0.001799093,4.5,2.68E-08,2.68E-08,2.68E-08,2.68E-08,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ6.L1,IPQ_RQ6_2_2xRPHGB_2xMQML,MQML,0.000227,0.000224,0.000204,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.L2,IPQ_RQ6_4_2xRPHGB_2xMQM_2xMQML,MQM_MQML,0.00038,0.000331,0.000313,0.014919768,0.014919768,0.0000888,0.021063201,0.021063201,0.000125423,4.5,2.18E-08,2.18E-08,3.08E-08,3.08E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.L4,IPQ_RQ6_2_2xRPHGB_2xMQY,MQY,0.000379,0.000409,0.000409,0.021063201,0.021063201,0.000125423,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ6.L5,IPQ_RQ6_2_2xRPHGB_2xMQML,MQML,0.000234,0.000214,0.000213,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.L8,IPQ_RQ6_4_2xRPHGB_2xMQM_2xMQML,MQM_MQML,0.000351,0.000348,0.000335,0.014919768,0.014919768,0.0000888,0.021063201,0.021063201,0.000125423,4.5,2.18E-08,2.18E-08,3.08E-08,3.08E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.R1,IPQ_RQ6_2_2xRPHGB_2xMQML,MQML,0.000311,0.000234,0.000217,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.R2,IPQ_RQ6_4_2xRPHGB_2xMQM_2xMQML,MQM_MQML,0.000364,0.000288,0.000272,0.014919768,0.014919768,0.0000888,0.021063201,0.021063201,0.000125423,4.5,2.18E-08,2.18E-08,3.08E-08,3.08E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.R4,IPQ_RQ6_2_2xRPHGB_2xMQY,MQY,0.00038,0.000392,0.000372,0.021063201,0.021063201,0.000125423,0,0,0,4.5,2.68E-08,2.68E-08,0.00E+00,0.00E+00,0,100,3610,10.833,2,10,20,385,1.00E-02,0,100,3610,10.833,2,20,30,385,1.00E-02
RQ6.R5,IPQ_RQ6_2_2xRPHGB_2xMQML,MQML,0.000322,0.000237,0.000206,0.021063201,0.021063201,0.000125423,0,0,0,4.5,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ6.R8,IPQ_RQ6_4_2xRPHGB_2xMQM_2xMQML,MQM_MQML,0.00044,0.000422,0.0004,0.014919768,0.014919768,0.0000888,0.021063201,0.021063201,0.000125423,4.5,2.18E-08,2.18E-08,3.08E-08,3.08E-08,0,100,4310,12.931,2,10,20,385,1.00E-02,0,100,4310,12.931,2,20,30,385,1.00E-02
RQ7.L1,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.000281,0.000259,0.000242,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.L2,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.000287,0.00032,0.000264,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.L4,IPQ_RQ7_2_2xRPHGA_2xMQM,MQM,0.000258,0.000218,0.000212,0.014919768,0.014919768,0.0000888,0,0,0,1.9,2.19E-08,2.19E-08,0.00E+00,0.00E+00,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.L5,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.00028,0.000256,0.000238,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.L8,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.000241,0.000278,0.000244,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.R1,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.000287,0.000252,0.000245,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.R2,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.00023,0.000274,0.000243,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.R4,IPQ_RQ7_2_2xRPHGA_2xMQM,MQM,0.000235,0.000237,0.000196,0.014919768,0.014919768,0.0000888,0,0,0,1.9,2.19E-08,2.19E-08,0.00E+00,0.00E+00,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.R5,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.00027,0.000275529,0.000270858,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ7.R8,IPQ_RQ7_4_2xRPHGA_4xMQM,MQM_MQM,0.000236044,0.000277761,0.000235783,0.014919768,0.014919768,0.0000888,0.014919768,0.014919768,0.0000888,1.9,2.18E-08,2.18E-08,2.18E-08,2.18E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5390,16.167,2,20,30,385,1.00E-02
RQ8.L1,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000239266,0.000256263,0.000237866,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.L2,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000361935,0.000306705,0.000298108,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.L4,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000234224,0.000281954,0.000277594,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.L5,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000246299,0.000246632,0.000225266,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.L6,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000499099,0.000586505,0.000596809,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.L8,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000327139,0.000293219,0.000284184,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R1,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.00024663,0.000244417,0.000234476,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R2,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000305689,0.000263982,0.000262793,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R4,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000303682,0.000229421,0.00022043,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R5,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000218421,0.000247829,0.000240483,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R6,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.00033035,0.000350534,0.000338545,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ8.R8,IPQ_RQ8_2_2xRPHGA_2xMQML,MQML,0.000314507,0.000265501,0.000262349,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ9.L1,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000224792,0.000204346,0.000170049,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.L2,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000354071,0.000416629,0.000362899,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.L4,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000306928,0.000281696,0.000279309,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.L5,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000223554,0.00020635,0.000159402,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.L6,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000502755,0.000620287,0.00064086,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.L8,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000340083,0.000326319,0.000315312,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R1,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000214458,0.000196242,0.000189348,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R2,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000308238,0.00034066,0.000294734,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R4,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000284792,0.000344463,0.000303756,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R5,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000203612,0.0002065,0.000199344,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R6,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000363639,0.000393318,0.000391987,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ9.R8,IPQ_RQ9_4_2xRPHGA_2xMQM_2xMQMC,MQM_MQMC,0.000331766,0.000328932,0.000273805,0.014919768,0.014919768,0.0000888,0.010531601,0.010531601,0.0000627,1.9,2.18E-08,2.18E-08,1.54E-08,1.54E-08,0,100,5390,16.167,2,10,20,385,1.00E-02,0,100,5225,16.167,2,20,30,385,1.00E-02
RQ10.L1,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000207121,0.000183572,0.000171132,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.L2,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,"0.000437894639538014",0.000399376,0.000383234,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.L4,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000336609,0.000325477,0.000319926,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.L5,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000214337,0.000167404,0.000148838,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.L6,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000583432,0.000651191,0.000665889,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.L8,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000356453,0.000362575,0.000354191,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R1,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.00019986,0.000187385,0.000174223,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R2,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.00037575,0.000341348,0.000333452,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R4,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000363402,0.000323161,0.000327856,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R5,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.00020412,0.000174677,0.000163165,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R6,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000431649,0.000390084,0.00037869,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
RQ10.R8,IPQ_RQ10_2_2xRPHGA_2xMQML,MQML,0.000394626,0.000340916,0.000328997,0.021063201,0.021063201,0.000125423,0,0,0,1.9,3.09E-08,3.09E-08,0.00E+00,0.00E+00,0,100,5320,16.167,2,10,20,385,1.00E-02,0,100,5320,16.167,2,20,30,385,1.00E-02
